Tax year,Personal exemptions [1],,,Tax rates for regular tax,,,,,,,,,,
,,,,Lowest bracket,,Highest bracket,,,,,,,,
"        2000 and filing status. See also footnote 37, below. ",,,,,,,,,,,,,,
"[37]  For 2001, the tax rate (columns 4 and 6) does not reflect a 5-percent tax credit of up to $300, $500, or $1,000, depending on the filing status. This credit effectively reduced the ",,,,,,,,,,,,,,
"        lowest rate on the income shown in column 5 from 15 percent to 10 percent, in lieu of an explicit 10-percent rate. However, the credit was reduced by the amount of the special ",,,,,,,,,,,,,,
"        statutory refund made in 2001 (based on tax for 2000), described in footnote 36, above. The 10-percent rate was only for dependents. ",,,,,,,,,,,,,,
"[38]  For the change in the lowest tax “bracket” boundary (columns 5 and 7) for 2001, see footnotes 36 and 37, above. ",,,,,,,,,,,,,,
"[39]  For 2006, the phaseout of the personal exemption was reduced by one-third (to a minimum of $1,100 per exemption).",,,,,,,,,,,,,,
"[40]  For 2008, the phaseout of the personal exemption was reduced by two-thirds (to a minimum of $2,333 per exemption).",,,,,,,,,,,,,,
"[41]  Starting with 2010, the phaseout of the personal exemption was eliminated.",,,,,,,,,,,,,,
"[42]  Starting with 2013, the tax rates do not reflect an additional 3.8 percent tax on net investment income for taxpayers with ""modified"" adjusted gross income above $250,000. ",,,,,,,,,,,,,,
"[43]  Starting with 2018, the personal exemption was suspended. Taxpayers could not claim a personal exemption deduction fro themselves, their spouses, or their dependents. ",,,,,,,,,,,,,,
"SOURCE:  Advisory Commission on Intergovernmental Relations, Significant Features of Fiscal Federalism, Volume I, Budget Processes and Tax Systems, 1995, September 1996 ",,,,,,,,,,,,,,
"        (based, in part, on Tax Foundation, Facts and Figures on Government Finance, 1988-89 edition, 1988); Pechman, Joseph A., Federal Tax Policy,fifth edition, The Brookings ",,,,,,,,,,,,,,
"        Institution, 1987 (based on relevant public laws and reports prepared by the Congressional Joint Economic Committee, including The Federal Revenue System: Facts and ",,,,,,,,,,,,,,
"        Problems,1961, and The Federal Tax System: Facts and Problems,1964); Statistics of Income—Part I (in particular, the historical synopses of laws included as appendices in the ",,,,,,,,,,,,,,
"        reports for 1949-1953) and Statistics of Income—Individual Income Tax Returns (annually, for 1954-1988); and relevant public laws and reports issued by the Congressional Joint ",,,,,,,,,,,,,,
"        Committee on Taxation for subsequent years, as well as reports, such as Overview of the Federal Tax System for 1990, 1991, and 1994,Committee on Ways and Means, ",,,,,,,,,,,,,,
"        U.S. House of Representatives, and reports issued by the Congressional Joint Committee on Taxation for subsequent years, including Overview of Present Law and Economic ",,,,,,,,,,,,,,
"        Analysis Relating to Marginal Tax Rates and The President’s Individual Income Tax Rate Proposals, 2001. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
